Name of Mobile Phone,SIM,Size,OS,Chipset,CPU,Card slot,Memory,Rear Camera,Front Camera,Wifi,Bluetooth,Sensors,Battery
BlackBerry Playbook Wimax,No,"7.0 inches, 137.9 cm2 (~54.7% screen-to-body ratio)",BlackBerry Tablet OS,TI OMAP 4430,Dual-core 1.0 GHz Cortex-A9,No,"16GB 1GB RAM, 32GB 1GB RAM, 64GB 1GB RAM","5 MP, AF",3 MP,"Wi-Fi 802.11 a/b/g/n, WiMAX 802.16 e, dual-band","2.1, A2DP, EDR",Accelerometer,Non-removable Li-Po 5300 mAh battery
BlackBerry Playbook,No,"7.0 inches, 137.9 cm2 (~54.7% screen-to-body ratio)",BlackBerry Tablet OS,TI OMAP 4430,Dual-core 1.0 GHz Cortex-A9,No,"16GB 1GB RAM, 32GB 1GB RAM, 64GB 1GB RAM","5 MP, AF",3 MP,"Wi-Fi 802.11 a/b/g/n, dual-band","2.1, EDR","Accelerometer, gyro",Non-removable Li-Po 5300 mAh battery
BlackBerry Bold 9780,Mini-SIM,"2.44 inches, 18.4 cm2 (~28.2% screen-to-body ratio)",BlackBerry OS 6.0,624 MHz,"microSD, up to 32 GB (dedicated slot), 2 GB included",256MB 512MB RAM,"5 MP, AF",No,"Wi-Fi 802.11 b/g, UMA","2.1, A2DP",,Removable Li-Po 1500 mAh battery
Blackview S6,"Dual SIM (Nano-SIM, dual stand-by)","5.7 inches, 83.8 cm2 (~73.7% screen-to-body ratio)",Android 7.0 (Nougat),Mediatek MT6737VWH,Quad-core 1.3 GHz Cortex-A53,"microSD, up to 128 GB (dedicated slot)",16GB 2GB RAM,"8 MP, AF
VGA, depth sensor",5 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP","Fingerprint (rear-mounted), accelerometer, gyro, proximity",Non-removable Li-Ion 4180 mAh battery
Blackview S8,"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","5.7 inches, 83.8 cm2 (~75.7% screen-to-body ratio)",Android 7.0 (Nougat),Mediatek MT6750T (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"microSD, up to 128 GB",64GB 4GB RAM,"13 MP, f/2.0, AF
VGA, depth sensor","13 MP, AF, f/2.0
VGA, depth sensor","Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 3180 mAh battery
Blackview P6000,"Dual SIM (Nano-SIM, dual stand-by)","5.5 inches, 83.4 cm2 (~70.6% screen-to-body ratio)",Android 7.1.1 (Nougat),Mediatek MT6757CD Helio P25 (16 nm),Octa-core (4x2.5 GHz Cortex-A53 & 4x1.4 GHz Cortex-A53),"microSD, up to 128 GB",64GB 6GB RAM,"21 MP, f/2.0, AF
VGA, depth sensor",8 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP, LE","Fingerprint (rear-mounted), accelerometer, proximity, compass",Non-removable Li-Ion 6180 mAh battery
Blackview A10,"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","5.0 inches, 68.9 cm2 (~68.5% screen-to-body ratio)",Android 7.0 (Nougat),Mediatek MT6580A (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB (uses SIM 2 slot)",16GB 2GB RAM,"8 MP, AF
5 MP, depth sensor",5 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Fingerprint (rear-mounted), accelerometer",Non-removable Li-Po 2800 mAh battery
Blackview A7 Pro,Dual SIM,"5.0 inches, 68.9 cm2 (~67.9% screen-to-body ratio)",Android 7.0 (Nougat),Mediatek MT6737 (28 nm),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 32 GB",16GB 2GB RAM,"8 MP, AF
VGA, depth sensor",5 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Fingerprint (rear-mounted), accelerometer",Removable Li-Po 2800 mAh battery
Blackview A7,Dual SIM,"5.0 inches, 68.9 cm2 (~67.9% screen-to-body ratio)",Android 7.0 (Nougat),Mediatek MT6580A (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB",8GB 1GB RAM,"5 MP, AF
VGA, depth sensor",2 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",Accelerometer,Removable Li-Po 2800 mAh battery
BLU C6 2019,"Dual SIM (Nano-SIM, dual stand-by)","6.0 inches, 92.9 cm2 (~76.0% screen-to-body ratio)",Android 8.1 Oreo (Go edition),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 64 GB",16GB 1GB RAM,"8 MP, 1/5"", 1.12µm, AF",8 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Fingerprint (rear-mounted), accelerometer, proximity",Li-Po 2800 mAh battery
BLU Advance L5,"Dual SIM (Micro-SIM, dual stand-by)","4.0 inches, 45.5 cm2 (~56.0% screen-to-body ratio)",Android 8.1 Oreo (Go edition),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 64 GB",16GB 512MB RAM,5 MP,2 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP",Accelerometer,Removable Li-Po 1300 mAh battery
BLU Bold N1,"Dual SIM (Nano-SIM, dual stand-by)","6.4 inches, 100.5 cm2 (~85.5% screen-to-body ratio)","Android 9.0 (Pie), planned upgrade to Android 10.0",Mediatek MT6771V Helio P70 (12nm),Octa-core (4x2.1 GHz Cortex-A73 & 4x2.1 GHz Cortex-A53),"microSD, up to 128 GB",128GB 4GB RAM,"16 MP, f/1.8, 1/2.8"", PDAF
5 MP, f/2.2, 1/5"", depth sensor","Motorized pop-up 13 MP, f/2.0, 1/4""","Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3500 mAh battery
BLU Studio Mini,"Dual SIM (Nano-SIM, dual stand-by)","5.5 inches, 78.1 cm2 (~72.5% screen-to-body ratio)",Android 9.0 (Pie),Octa-core 1.6 GHz Cortex-A55,"microSD, up to 64 GB",32GB 2GB RAM,"13 MP, AF",8 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Accelerometer, proximity",Removable Li-Po 3000 mAh battery
BLU Vivo X5,"Dual SIM (Nano-SIM, dual stand-by)","5.7 inches, 83.8 cm2 (~74.7% screen-to-body ratio)",Android 9.0 (Pie),Octa-core 1.6 GHz Cortex-A55,"microSD, up to 64 GB",64GB 3GB RAM,"13 MP, AF",8 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Fingerprint (rear-mounted), accelerometer, proximity",Removable Li-Po 2800 mAh battery
BLU Vivo XL5,"Dual SIM (Nano-SIM, dual stand-by)","6.3 inches, 99.1 cm2 (~78.7% screen-to-body ratio)",Android 9.0 (Pie),Octa-core 1.6 GHz Cortex-A55,"microSD, up to 64 GB",64GB 3GB RAM,"13 MP, AF
2 MP, depth sensor",13 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Fingerprint (rear-mounted), accelerometer, proximity",Non-removable Li-Po 4000 mAh battery
BLU G9 Pro,"Dual SIM (Nano-SIM, dual stand-by)","6.3 inches, 97.4 cm2 (~82.6% screen-to-body ratio)","Android 9.0 (Pie), planned upgrade to Android 10.0",Mediatek MT6771 Helio P60 (12 nm),Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),"microSD, up to 128 GB",128GB 4GB RAM,"16 MP, f/1.8, 1/2.8"", PDAF
20 MP, f/1.8, 1/2.8"" (wide)
5 MP, f/2.2, 1/5"", depth sensor","24 MP, f/2.0, 1/2.8"" (wide)","Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4000 mAh battery
BLU Studio Mega 2019,"Dual SIM (Nano-SIM, dual stand-by)","6.0 inches, 92.9 cm2 (~73.8% screen-to-body ratio)",Android 9.0 (Pie),Octa-core 1.6 GHz Cortex-A55,"microSD, up to 64 GB",32GB 2GB RAM,"13 MP, AF",8 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Accelerometer, proximity",Removable Li-Po 3000 mAh battery
BLU G8,"Dual SIM (Nano-SIM, dual stand-by)","6.3 inches, 99.1 cm2 (~78.7% screen-to-body ratio)",Android 9.0 (Pie),Octa-core 1.6 GHz Cortex-A55,"microSD, up to 64 GB",64GB 3GB RAM,"13 MP, AF
2 MP, depth sensor",13 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Fingerprint (rear-mounted), accelerometer, proximity",Non-removable Li-Po 4000 mAh battery
BLU G6,"Dual SIM (Nano-SIM, dual stand-by)","5.7 inches, 83.8 cm2 (~74.7% screen-to-body ratio)",Android 9.0 (Pie),Octa-core 1.6 GHz Cortex-A55,"microSD, up to 64 GB",64GB 3GB RAM,"13 MP, AF",8 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Fingerprint (rear-mounted), accelerometer, proximity",Removable Li-Po 2800 mAh battery
BLU G5 Plus,"Dual SIM (Nano-SIM, dual stand-by)","6.0 inches, 92.9 cm2 (~73.8% screen-to-body ratio)",Android 9.0 (Pie),Octa-core 1.6 GHz Cortex-A55,"microSD, up to 64 GB",32GB 2GB RAM,"13 MP, AF",8 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Accelerometer, proximity",Removable Li-Po 3000 mAh battery
BLU G5,"Dual SIM (Nano-SIM, dual stand-by)","5.5 inches, 78.1 cm2 (~72.5% screen-to-body ratio)",Android 9.0 (Pie),Octa-core 1.6 GHz Cortex-A55,"microSD, up to 64 GB",32GB 2GB RAM,"13 MP, AF",8 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Accelerometer, proximity",Removable Li-Po 3000 mAh battery
BLU G9,"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","6.3 inches, 99.1 cm2 (~88.8% screen-to-body ratio)",Android 9.0 (Pie),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,"microSD, up to 128 GB",64GB 4GB RAM,"13 MP, f/2.0, 1/3"", PDAF
2 MP, depth sensor","13 MP, f/2.0, 1/3""","Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4000 mAh battery
BLU C5L,"Dual SIM (Nano-SIM, dual stand-by)","5.0 inches, 68.9 cm2 (~65.9% screen-to-body ratio)",Android 8.1 Oreo (Go edition),Quad-core 1.4 GHz Cortex-A53,"microSD, up to 64 GB",8GB 1GB RAM,"5 MP, AF",2 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP",Accelerometer,Li-Ion 2000 mAh battery
BLU Studio X8 HD (2019),"Dual SIM (Mini-SIM, dual stand-by)","5.0 inches, 68.9 cm2 (~63.6% screen-to-body ratio)",Android 8.1 Oreo (Go edition),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 64 GB",8GB 1GB RAM,8 MP,5 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP",Accelerometer,Li-Ion 2000 mAh battery
BLU C6L,"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","5.5 inches, 83.4 cm2 (~68.7% screen-to-body ratio)",Android 8.1 Oreo (Go edition),Quad-core 1.4 GHz Cortex-A53,"microSD, up to 64 GB",16GB 1GB RAM,"8 MP, AF",5 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP","Accelerometer, proximity",Li-Ion 2500 mAh battery
BLU Vivo One Plus (2019),"Dual SIM (Nano-SIM, dual stand-by)","6.2 inches, 96.7 cm2 (~82.1% screen-to-body ratio)",Android 8.1 (Oreo),Mediatek MT6739 (28 nm),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 64 GB",16GB 2GB RAM,"13 MP, f/2.2, 1/4""
2 MP, depth sensor","8 MP, f/2.2, 1/5""","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Fingerprint (rear-mounted), accelerometer, proximity",Non-removable Li-Po 3000 mAh battery
BLU Vivo Go,"Dual SIM (Nano-SIM, dual stand-by)","6.0 inches, 92.9 cm2 (~78.8% screen-to-body ratio)",Android 9.0 Pie (Go edition),Mediatek MT6739 (28 nm),Quad-core 1.5 GHz Cortex-A53,"microSD, up to 64 GB",16GB 1GB RAM,"8 MP, AF
0.3 MP, depth sensor",5 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Fingerprint (rear-mounted), accelerometer, proximity",Non-removable Li-Po 2600 mAh battery
BLU Vivo XL4,"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","6.2 inches, 95.9 cm2 (~80.1% screen-to-body ratio)",Android 8.1 (Oreo),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,"microSD, up to 128 GB",32GB 3GB RAM,"13 MP, f/2.0, 1/3"", PDAF
2 MP, depth sensor","13 MP, f/2.2, 1/4""","Wi-Fi 802.11 а/b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Fingerprint (rear-mounted), accelerometer, proximity, compass",Non-removable Li-Po 4000 mAh battery
BLU Studio Mega (2018),"Dual SIM (Nano-SIM, dual stand-by)","6.0 inches, 92.9 cm2 (~78.8% screen-to-body ratio)",Android 8.1 Oreo (Go edition),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 64 GB",16GB 1GB RAM,"13 MP, AF
2 MP, depth sensor",8 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Accelerometer, proximity",Non-removable Li-Po 2600 mAh battery
BLU Grand M2 (2018),"Dual SIM (Nano-SIM, dual stand-by)","5.2 inches, 74.5 cm2 (~71.4% screen-to-body ratio)",Android 8.1 Oreo (Go edition),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 64 GB","8GB 1GB RAM, 16GB 1GB RAM",8 MP,5 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",Accelerometer,Non-removable Li-Po 2600 mAh battery
BLU Advance L4,"Dual SIM (Micro-SIM, dual stand-by)","4.0 inches, 45.5 cm2 (~56.2% screen-to-body ratio)",Android 8.1 Oreo (Go edition),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 64 GB",8GB 512MB RAM,5 MP,2 MP,"Wi-Fi 802.11 b/g/n, hotspot",2.1,Accelerometer,Removable Li-Po 1300 mAh battery
BLU Vivo XI,"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","5.9 inches, 86.9 cm2 (~80.0% screen-to-body ratio)","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie)",Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,"microSD, up to 128 GB",32GB 3GB RAM,"16 MP, f/2.0, 1/3"", 1.10µm, PDAF
5 MP, 1/5"", 1.12µm, depth sensor","16 MP, 1/3"", 1.10µm","Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3000 mAh battery
BLU Vivo XI+,"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","6.2 inches, 96.9 cm2 (~82.8% screen-to-body ratio)","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie)",Mediatek MT6771 Helio P60 (12 nm),Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),"microSD, up to 128 GB","64GB 4GB RAM, 128GB 6GB RAM","16 MP, f/2.0, 1/3"", 1.10µm, PDAF
5 MP, 1/5"", 1.12µm, depth sensor","16 MP, 1/3"", 1.10µm","Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Iris scanner, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3050 mAh battery
BLU C5,Dual SIM (Micro-SIM),"5.0 inches, 68.9 cm2 (~65.9% screen-to-body ratio)",Android 8.1 Oreo (Go edition),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 64 GB",8GB 1GB RAM,5 MP,5 MP,"Wi-Fi 802.11 b/g/n, hotspot",2.1,"Accelerometer, proximity",Li-Po 2000 mAh battery
BLU C4,Dual SIM (Micro-SIM),"4.0 inches, 45.5 cm2 (~57.1% screen-to-body ratio)",Android 8.1 Oreo (Go edition),Quad-core 1.3 GHz,"microSD, up to 64 GB",8GB 512MB RAM,5 MP,5 MP,"Wi-Fi 802.11 b/g/n, hotspot",2.1,Accelerometer,Li-Po 1300 mAh battery
BLU Studio G4,"Dual SIM (Nano-SIM, dual stand-by)","5.2 inches, 74.5 cm2 (~71.7% screen-to-body ratio)",Android 8.1 Oreo (Go edition),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 64 GB",16GB 1GB RAM,"8 MP, 1/5"", 1.12µm, AF",5 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Accelerometer, proximity",Removable Li-Po 2000 mAh battery
BLU C6,"Dual SIM (Nano-SIM, dual stand-by)","5.5 inches, 83.4 cm2 (~70.6% screen-to-body ratio)",Android 8.1 Oreo (Go edition),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 64 GB",16GB 1GB RAM,"8 MP, 1/5"", 1.12µm, AF",5 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Accelerometer, proximity",Li-Po 2500 mAh battery
BLU Grand M3,"Dual SIM (Nano-SIM/Micro-SIM, dual stand-by)","5.34 inches, 73.6 cm2 (~70.0% screen-to-body ratio)",Android 8.1 Oreo (Go edition),Mediatek MT6739 (28 nm),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 64 GB",16GB 1GB RAM,"8 MP, 1/5"", 1.12µm, AF",5 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Fingerprint (rear-mounted), accelerometer, proximity",Non-removable Li-Po 2500 mAh battery
BLU Pure View,"Dual SIM (Nano-SIM, dual stand-by)","5.7 inches, 83.8 cm2 (~76.7% screen-to-body ratio)",Android 7.0 (Nougat),Mediatek MT6753 (28 nm),Octa-core 1.3 GHz Cortex-A53,"microSD, up to 64 GB",32GB 3GB RAM,"13 MP, 1/3"", 1.12µm, PDAF","8 MP, 1/4"", 1.12µm","Wi-Fi 802.11 a/b/g/n, hotspot","4.0, A2DP","Fingerprint (rear-mounted), accelerometer, proximity, compass",Non-removable Li-Po 3000 mAh battery
BLU Studio View,"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","5.5 inches, 78.1 cm2 (~72.8% screen-to-body ratio)",Android 7.0 (Nougat),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 64 GB",8GB 1GB RAM,8 MP,5 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Fingerprint (rear-mounted), accelerometer, proximity",Non-removable Li-Po 2850 mAh battery
BLU Vivo XL3,"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","5.5 inches, 78.1 cm2 (~74.8% screen-to-body ratio)",Android 8.0 (Oreo),Mediatek MT6737 (28 nm),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 64 GB",32GB 3GB RAM,"13 MP, PDAF",13 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Fingerprint (rear-mounted), accelerometer, proximity, compass",Non-removable Li-Po 3000 mAh battery
BLU Vivo One Plus,"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","6.0 inches, 92.9 cm2 (~73.5% screen-to-body ratio)",Android 7.1 (Nougat),Mediatek MT6739 (28 nm),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 64 GB",16GB 2GB RAM,13 MP,13 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Fingerprint (rear-mounted), accelerometer, proximity",Non-removable Li-Po 4000 mAh battery
BLU Dash L4,Dual SIM (Mini-SIM/Micro-SIM),"4.0 inches, 45.5 cm2 (~56.0% screen-to-body ratio)",Android 6.0 (Marshmallow),Mediatek MT6570 (28 nm),Dual-core 1.3 GHz,"microSD, up to 64 GB",8GB 512MB RAM,5 MP,2 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",Accelerometer,Removable Li-Po 1700 mAh battery
BLU X Link,Mini-SIM,"1.1 inches, 3.9 cm2 (~15.8% screen-to-body ratio)",Mediatek MT2502,256 MHz,No,4MB 4MB RAM,No,4.0,"Accelerometer, heart rate",Non-removable Li-Po 320 mAh battery
BLU Vivo XL3 Plus,"Dual SIM (Nano-SIM, dual stand-by)","6.0 inches, 92.9 cm2 (~76.8% screen-to-body ratio)",Android 7.1.2 (Nougat),Qualcomm MSM8917 Snapdragon 425 (28 nm),Quad-core 1.4 GHz Cortex-A53,"microSD, up to 64 GB",32GB 3GB RAM,"13 MP, PDAF",16 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Fingerprint (rear-mounted), accelerometer, proximity, compass",Non-removable Li-Po 3000 mAh battery
BLU Vivo X,"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","6.0 inches, 92.9 cm2 (~75.6% screen-to-body ratio)",Android 7.0 (Nougat),Mediatek MT6757 Helio P20 (16 nm),Octa-core (4x2.6 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53),"microSD, up to 64 GB",64GB 4GB RAM,"13 MP, 1/3"", 1.12µm, PDAF
5 MP, 1/5"", 1.12µm, depth sensor","20 MP, 1/2.78"", 1.0µm
8 MP, 1/4"", 1.12µm","Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4010 mAh battery
BLU Studio J8M LTE,"Dual SIM (Micro-SIM, dual stand-by)","5.0 inches, 68.9 cm2 (~66.0% screen-to-body ratio)",Android 7.0 (Nougat),Mediatek MT6737 (28 nm),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 64 GB",16GB 2GB RAM,8 MP,5 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Fingerprint (rear-mounted), accelerometer, proximity",Non-removable Li-Po 2000 mAh battery
BLU Vivo One,"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","5.5 inches, 78.1 cm2 (~75.0% screen-to-body ratio)",Android 7.1.1 (Nougat),Mediatek MT6739 (28 nm),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 64 GB",16GB 2GB RAM,12 MP,8 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Fingerprint (rear-mounted), accelerometer, proximity",Non-removable Li-Po 3000 mAh battery
BLU Studio View XL,"Dual SIM (Micro-SIM, dual stand-by)","5.7 inches, 83.8 cm2 (~70.5% screen-to-body ratio)",Android 7.0 (Nougat),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 64 GB",16GB 1GB RAM,"13 MP, 1/4"", 1.12µm",5 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Fingerprint (rear-mounted), accelerometer, proximity",Removable Li-Po 3000 mAh battery
Bosch 909 Dual S,Mini-SIM,,No,No,No,,Removable Li-Ion battery
Bosch 909 Dual,Mini-SIM,,No,No,No,,Removable Li-Ion 650 mAh battery
Bosch Com 908,Mini-SIM,,No,No,No,,Removable Li-Ion 650 mAh battery
Bosch Com 509,Mini-SIM,,No,No,No,,Removable NiMH battery
Bosch World 718,Mini-SIM,,No,No,No,,Removable Li-Ion 650 mAh battery
Bosch Com 738,Mini-SIM,,No,No,No,,Removable Li-Ion 650 mAh battery
Bosch Com 906,Mini-SIM,,No,No,No,,Removable Li-Ion 500 mAh battery
Bosch Com 608,Mini-SIM,,No,No,No,,Removable NiMH 550 mAh battery
Bosch Com 607,Mini-SIM,,No,No,No,,Removable NiMH 550 mAh battery
Bosch Com 207,Mini-SIM,,No,No,No,,Removable NiMH 600 mAh battery
BQ Aquaris X2 Pro,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","5.65 inches, 82.4 cm2 (~75.6% screen-to-body ratio)",Android 8.1 (Oreo); Android One,Qualcomm SDM660 Snapdragon 660 (14 nm),Octa-core (4x2.2 GHz Kryo 260 & 4x1.8 GHz Kryo 260),"microSD, up to 256 GB (uses SIM 2 slot)","64GB 4GB RAM, 128GB 6GB RAM","12 MP, f/1.8, 1/2.8"", 1.29µm, dual pixel PDAF
5 MP, 1/5"", 1.12µm, depth sensor","8 MP, f/2.0, 1/4"", 1.12µm","Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 3100 mAh battery
BQ Aquaris X2,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","5.65 inches, 82.4 cm2 (~75.6% screen-to-body ratio)",Android 8.1 (Oreo); Android One,Qualcomm SDM636 Snapdragon 636 (14 nm),Octa-core 1.8 GHz Kryo 260,"microSD, up to 256 GB (uses SIM 2 slot)","32GB 3GB RAM, 64GB 4GB RAM","12 MP, f/1.8, 1/2.8"", 1.29µm, dual pixel PDAF
5 MP, 1/5"", 1.12µm, depth sensor","8 MP, f/2.0, 1/4"", 1.12µm","Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 3100 mAh battery
BQ Aquaris VS Plus,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","5.5 inches, 83.4 cm2 (~71.4% screen-to-body ratio)","Android 7.1.2 (Nougat), upgradable to Android 8.0 (Oreo)",Qualcomm MSM8937 Snapdragon 430 (28 nm),Octa-core 1.4 GHz Cortex-A53,"microSD, up to 256 GB (uses SIM 2 slot)",64GB 4GB RAM,"12 MP, f/2.0, 1/2.9"", 1.25µm, PDAF","8 MP, f/2.0, 1/4"", 1.12µm","Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE, aptX","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3400 mAh battery
